Product_ID(NK),DESCRIPTION,PRICE1,PRICE2,UNITCOST,SUPPILERNAME,PRODTYPEID,BUID,TYPEDESCRIPTION,NAME,ABBREV,Department
41.00,Consideration Tray Supplies,172.56,146.85,139.51,American General Ventures Inc,8.00,B,Tray Supplies,Disposable Supplies,Supplies,TPCW
57.00,South Tray Supplies,241.30,205.10,203.05,Sinclair Broadcast Group Inc.,8.00,B,Tray Supplies,Disposable Supplies,Supplies,TPCW
69.00,Hits Tray Supplies,439.53,359.10,341.14,Black Hills Corporation,8.00,B,Tray Supplies,Disposable Supplies,Supplies,TPCW
72.00,Anthem Tray Supplies,134.92,112.39,109.02,Fedders Corporation,8.00,B,Tray Supplies,Disposable Supplies,Supplies,TPCW
88.00,Vestiges Tray Supplies,231.45,192.10,186.34,Saurer Gruppe Holding Ag,8.00,B,Tray Supplies,Disposable Supplies,Supplies,TPCW
92.00,Behind Tray Supplies,166.65,138.99,129.26,Afg Industries Inc.,8.00,B,Tray Supplies,Disposable Supplies,Supplies,TPCW
14.00,Engle Photo Chemicals,429.94,346.10,342.64,Black Hills Corporation,9.00,C,Photo Chemicals,Chemicals,Chemicalss,TPCW
54.00,Honeymoon Photo Chemicals,326.13,292.21,271.76,Afg Industries Inc.,9.00,C,Photo Chemicals,Chemicals,Chemicalss,TPCW
78.00,Measured Photo Chemicals,318.06,270.67,254.43,Immunex Corporation,9.00,C,Photo Chemicals,Chemicals,Chemicalss,TPCW
102.00,Measured Photo Chemicals,318.06,270.67,254.43,Immunex Corporation,9.00,C,Photo Chemicals,Chemicals,Chemicalss,TPCW
9.00,Millimeters Flushing Chemicals,295.56,251.82,241.75,Afg Industries Inc.,10.00,C,Flushing Chemicals,Chemicals,Chemicalss,TPCW
49.00,Visage Flushing Chemicals,567.75,507.57,466.96,Afg Industries Inc.,10.00,C,Flushing Chemicals,Chemicals,Chemicalss,TPCW
62.00,Substances Flushing Chemicals,507.34,409.93,397.63,Black Hills Corporation,10.00,C,Flushing Chemicals,Chemicals,Chemicalss,TPCW
98.00,Barrels Flushing Chemicals,135.10,116.59,108.43,Specialty Teleconstructors Inc,10.00,C,Flushing Chemicals,Chemicals,Chemicalss,TPCW
42.00,Carelessly Freezing Chemicals,559.67,467.88,425.77,Dollar General Corporation,11.00,C,Freezing Chemicals,Chemicals,Chemicalss,TPCW
47.00,Significants Freezing Chemicals,141.55,113.24,104.18,Dollar General Corporation,11.00,C,Freezing Chemicals,Chemicals,Chemicalss,TPCW
52.00,Identical Freezing Chemicals,578.07,465.92,447.28,Sinclair Broadcast Group Inc.,11.00,C,Freezing Chemicals,Chemicals,Chemicalss,TPCW
53.00,Ruffle Freezing Chemicals,476.38,394.92,379.12,Immunex Corporation,11.00,C,Freezing Chemicals,Chemicals,Chemicalss,TPCW
66.00,Exemplar Freezing Chemicals,198.40,160.90,152.85,Fedders Corporation,11.00,C,Freezing Chemicals,Chemicals,Chemicalss,TPCW
75.00,Deferrable Freezing Chemicals,145.03,124.44,113.24,Sinclair Broadcast Group Inc.,11.00,C,Freezing Chemicals,Chemicals,Chemicalss,TPCW
94.00,Beliefs Freezing Chemicals,566.64,483.91,454.88,Immunex Corporation,11.00,C,Freezing Chemicals,Chemicals,Chemicalss,TPCW
99.00,Richards Freezing Chemicals,529.35,475.36,470.61,Dollar General Corporation,11.00,C,Freezing Chemicals,Chemicals,Chemicalss,TPCW
5.00,Automobiles Fillers,283.83,227.63,218.52,American General Ventures Inc,12.00,D,Fillers,Miscellaneous,MISC,TPCW
7.00,Commendation Fillers,436.33,380.04,364.84,Fedders Corporation,12.00,D,Fillers,Miscellaneous,MISC,TPCW
15.00,Disposed Fillers,158.84,138.03,132.51,Fedders Corporation,12.00,D,Fillers,Miscellaneous,MISC,TPCW
29.00,Bluest Fillers,507.35,428.20,398.23,Black Hills Corporation,12.00,D,Fillers,Miscellaneous,MISC,TPCW
64.00,Berwick Fillers,583.85,487.51,463.13,Dollar General Corporation,12.00,D,Fillers,Miscellaneous,MISC,TPCW
74.00,Flanker Fillers,271.44,236.15,219.62,Dollar General Corporation,12.00,D,Fillers,Miscellaneous,MISC,TPCW
3.00,Sortie Covers,248.21,213.21,206.81,Fedders Corporation,13.00,D,Covers,Miscellaneous,MISC,TPCW
11.00,Sulkiness Covers,354.30,289.82,272.43,Dollar General Corporation,13.00,D,Covers,Miscellaneous,MISC,TPCW
13.00,Coward Covers,429.79,348.99,328.05,Fedders Corporation,13.00,D,Covers,Miscellaneous,MISC,TPCW
16.00,Enhanced Covers,460.96,384.44,361.37,Dollar General Corporation,13.00,D,Covers,Miscellaneous,MISC,TPCW
22.00,Whippers Covers,488.61,410.43,389.91,Specialty Teleconstructors Inc,13.00,D,Covers,Miscellaneous,MISC,TPCW
28.00,Wonderingly Covers,547.21,467.32,453.30,Afg Industries Inc.,13.00,D,Covers,Miscellaneous,MISC,TPCW
43.00,Blazed Covers,495.00,416.79,404.29,Afg Industries Inc.,13.00,D,Covers,Miscellaneous,MISC,TPCW
82.00,Numerals Covers,102.87,88.98,83.64,Sinclair Broadcast Group Inc.,13.00,D,Covers,Miscellaneous,MISC,TPCW
104.00,LCARS Covers,289.41,231.42,211.76,Fedders Corporation,13.00,D,Covers,Miscellaneous,MISC,TPCW
51.00,Reflection Lifts,497.85,447.57,438.62,Fedders Corporation,14.00,D,Lifts,Miscellaneous,MISC,TPCW
83.00,Horses Lifts,487.30,402.51,366.28,Saurer Gruppe Holding Ag,14.00,D,Lifts,Miscellaneous,MISC,TPCW
103.00,Whale Lifts,493.40,406.78,385.43,Saurer Gruppe Holding Ag,14.00,D,Lifts,Miscellaneous,MISC,TPCW
2.00,Tailor Jacks,509.78,429.74,399.66,Black Hills Corporation,15.00,D,Jacks,Miscellaneous,MISC,TPCW
19.00,Hesitating Jacks,124.46,100.07,96.07,First Bancshares Inc Mo,15.00,D,Jacks,Miscellaneous,MISC,TPCW
30.00,Detectives Jacks,283.32,248.47,236.05,Specialty Teleconstructors Inc,15.00,D,Jacks,Miscellaneous,MISC,TPCW
45.00,Slacking Jacks,495.04,399.99,387.99,Dollar General Corporation,15.00,D,Jacks,Miscellaneous,MISC,TPCW
73.00,Cosgrove Jacks,298.87,267.79,254.40,Afg Industries Inc.,15.00,D,Jacks,Miscellaneous,MISC,TPCW
76.00,Scrounge Jacks,301.58,251.22,248.71,Dollar General Corporation,15.00,D,Jacks,Miscellaneous,MISC,TPCW
12.00,Travelings Photo Chemicals,274.39,242.01,225.07,American General Ventures Inc,122.00,,,,,TPCW
