invoice,custID,prodID,amt,qty,discounted,SalesDate,Department
32878,6,30,254,96,0,10/28/2010 0:00,TPCW
34801,4,5,367,171,0,10/28/2010 0:00,TPCW
35523,34,57,353,56,0,10/28/2010 0:00,TPCW
37876,26,60,278,103,0,10/28/2010 0:00,TPCW
38023,19,19,122,138,0,10/28/2010 0:00,TPCW
38499,35,38,215,13,0,10/28/2010 0:00,TPCW
46611,16,75,123,187,0,10/28/2010 0:00,TPCW
48994,20,48,338,85,0,10/28/2010 0:00,TPCW
50384,17,16,129,175,0,10/28/2010 0:00,TPCW
54072,14,85,336,71,0,10/28/2010 0:00,TPCW
1086,7,67,377,137,0,10/27/2010 0:00,TPCW
1450,20,22,254,43,0,10/27/2010 0:00,TPCW
5279,15,24,383,24,0,10/27/2010 0:00,TPCW
5279,15,64,103,22,0,10/27/2010 0:00,TPCW
14269,5,69,286,188,0,10/27/2010 0:00,TPCW
14329,27,88,373,44,0,10/27/2010 0:00,TPCW
16863,30,76,257,35,0,10/27/2010 0:00,TPCW
19875,28,59,221,47,0,10/27/2010 0:00,TPCW
21186,33,79,355,31,0,10/27/2010 0:00,TPCW
21410,22,81,198,149,0,10/27/2010 0:00,TPCW
23941,10,85,199,92,0,10/27/2010 0:00,TPCW
33365,14,40,101,128,0,10/27/2010 0:00,TPCW
35256,24,104,328,177,0,10/27/2010 0:00,TPCW
35256,24,94,359,121,0,10/27/2010 0:00,TPCW
35602,1,47,191,82,0,10/27/2010 0:00,TPCW
39086,11,41,106,150,0,10/27/2010 0:00,TPCW
39253,19,74,234,193,0,10/27/2010 0:00,TPCW
39253,19,50,177,30,0,10/27/2010 0:00,TPCW
39495,2,24,149,98,0,10/27/2010 0:00,TPCW
40140,3,81,359,123,0,10/27/2010 0:00,TPCW
43899,39,57,142,38,0,10/27/2010 0:00,TPCW
48078,9,73,288,14,0,10/27/2010 0:00,TPCW
48778,4,101,390,99,0,10/27/2010 0:00,TPCW
53954,16,51,260,124,0,10/27/2010 0:00,TPCW
55443,35,22,116,106,0,10/27/2010 0:00,TPCW
1504,14,90,151,111,0,10/26/2010 0:00,TPCW
3845,1,7,338,148,0,10/26/2010 0:00,TPCW
3951,39,9,217,46,0,10/26/2010 0:00,TPCW
6972,2,25,190,24,0,10/26/2010 0:00,TPCW
8042,37,49,198,72,0,10/26/2010 0:00,TPCW
12069,28,12,334,105,0,10/26/2010 0:00,TPCW
18208,26,34,197,135,0,10/26/2010 0:00,TPCW
20126,20,31,343,21,0,10/26/2010 0:00,TPCW
20126,20,78,327,199,0,10/26/2010 0:00,TPCW
20447,30,31,368,164,0,10/26/2010 0:00,TPCW
23313,6,62,112,155,0,10/26/2010 0:00,TPCW
25512,8,101,338,101,0,10/26/2010 0:00,TPCW
30612,36,88,194,175,0,10/26/2010 0:00,TPCW
31809,34,49,264,163,0,10/26/2010 0:00,TPCW
36585,12,49,295,127,0,10/26/2010 0:00,TPCW
36585,12,23,357,21,0,10/26/2010 0:00,TPCW
38327,33,34,101,149,0,10/26/2010 0:00,TPCW
38327,33,24,267,54,0,10/26/2010 0:00,TPCW
42662,21,78,237,113,0,10/26/2010 0:00,TPCW
42662,21,7,163,38,0,10/26/2010 0:00,TPCW
44974,35,31,243,59,0,10/26/2010 0:00,TPCW
44974,35,45,111,142,0,10/26/2010 0:00,TPCW
47346,11,79,310,121,0,10/26/2010 0:00,TPCW
1687,21,88,396,94,0,10/25/2010 0:00,TPCW
4617,3,50,333,177,0,10/25/2010 0:00,TPCW
6130,18,37,390,199,0,10/25/2010 0:00,TPCW
13172,31,72,113,183,0,10/25/2010 0:00,TPCW
13792,20,5,261,67,0,10/25/2010 0:00,TPCW
20628,10,42,239,112,0,10/25/2010 0:00,TPCW
22386,14,94,210,100,0,10/25/2010 0:00,TPCW
24323,7,25,241,19,0,10/25/2010 0:00,TPCW
29345,1,72,292,128,0,10/25/2010 0:00,TPCW
30715,38,13,124,112,0,10/25/2010 0:00,TPCW
32164,13,90,330,44,0,10/25/2010 0:00,TPCW
32590,35,9,168,72,0,10/25/2010 0:00,TPCW
43526,32,15,335,44,0,10/25/2010 0:00,TPCW
50667,11,48,233,193,0,10/25/2010 0:00,TPCW
55504,2,79,272,45,0,10/25/2010 0:00,TPCW
55504,2,22,317,183,0,10/25/2010 0:00,TPCW
4371,19,63,222,122,0,10/24/2010 0:00,TPCW
6816,36,37,197,68,0,10/24/2010 0:00,TPCW
6816,36,7,159,174,0,10/24/2010 0:00,TPCW
10236,40,62,355,51,0,10/24/2010 0:00,TPCW
10236,40,12,377,118,0,10/24/2010 0:00,TPCW
10236,40,63,309,168,0,10/24/2010 0:00,TPCW
14142,18,29,387,10,0,10/24/2010 0:00,TPCW
21134,29,70,223,189,0,10/24/2010 0:00,TPCW
24643,35,11,193,172,0,10/24/2010 0:00,TPCW
25790,6,86,321,172,0,10/24/2010 0:00,TPCW
31312,10,46,295,32,0,10/24/2010 0:00,TPCW
33690,4,67,226,74,0,10/24/2010 0:00,TPCW
33690,4,32,273,64,0,10/24/2010 0:00,TPCW
44416,15,3,336,83,0,10/24/2010 0:00,TPCW
45622,21,14,197,54,0,10/24/2010 0:00,TPCW
2871,7,76,137,182,0,10/23/2010 0:00,TPCW
3091,39,26,118,54,0,10/23/2010 0:00,TPCW
4930,33,60,266,58,0,10/23/2010 0:00,TPCW
5721,20,76,100,99,0,10/23/2010 0:00,TPCW
6002,11,28,240,161,0,10/23/2010 0:00,TPCW
12974,24,11,306,52,0,10/23/2010 0:00,TPCW
13754,31,37,117,69,0,10/23/2010 0:00,TPCW
14036,29,26,179,16,0,10/23/2010 0:00,TPCW
17279,26,61,335,164,0,10/23/2010 0:00,TPCW
18001,5,92,245,159,0,10/23/2010 0:00,TPCW
21161,13,14,288,136,0,10/23/2010 0:00,TPCW
28218,34,28,201,151,0,10/23/2010 0:00,TPCW
32751,38,16,124,73,0,10/23/2010 0:00,TPCW
33981,4,44,214,61,0,10/23/2010 0:00,TPCW
35079,30,43,344,17,0,10/23/2010 0:00,TPCW
35079,30,91,126,186,0,10/23/2010 0:00,TPCW
37617,17,2,233,52,0,10/23/2010 0:00,TPCW
39091,2,99,286,30,0,10/23/2010 0:00,TPCW
39583,6,95,225,40,0,10/23/2010 0:00,TPCW
46314,14,43,262,28,0,10/23/2010 0:00,TPCW
51065,12,59,329,167,0,10/23/2010 0:00,TPCW
51431,25,84,123,104,0,10/23/2010 0:00,TPCW
51431,25,11,174,109,0,10/23/2010 0:00,TPCW
55441,36,88,118,73,0,10/23/2010 0:00,TPCW
756,19,51,299,124,0,10/22/2010 0:00,TPCW
1835,23,70,145,106,0,10/22/2010 0:00,TPCW
2820,9,86,336,144,0,10/22/2010 0:00,TPCW
4104,32,49,375,79,0,10/22/2010 0:00,TPCW
5606,14,52,100,90,0,10/22/2010 0:00,TPCW
8024,36,87,319,47,0,10/22/2010 0:00,TPCW
16742,5,22,168,60,0,10/22/2010 0:00,TPCW
18024,27,87,337,20,0,10/22/2010 0:00,TPCW
20653,2,59,211,149,0,10/22/2010 0:00,TPCW
22231,18,98,332,105,0,10/22/2010 0:00,TPCW
22231,18,97,180,120,0,10/22/2010 0:00,TPCW
23931,25,60,158,125,0,10/22/2010 0:00,TPCW
24984,26,68,215,26,0,10/22/2010 0:00,TPCW
27283,8,36,314,185,0,10/22/2010 0:00,TPCW
36916,22,71,122,122,0,10/22/2010 0:00,TPCW
38088,10,61,260,52,0,10/22/2010 0:00,TPCW
42768,30,29,122,149,0,10/22/2010 0:00,TPCW
44574,7,18,294,22,0,10/22/2010 0:00,TPCW
45462,1,69,339,179,1,10/22/2010 0:00,TPCW
45566,37,35,237,150,0,10/22/2010 0:00,TPCW
45566,37,11,230,48,0,10/22/2010 0:00,TPCW
49679,4,53,183,18,0,10/22/2010 0:00,TPCW
50007,24,17,289,116,0,10/22/2010 0:00,TPCW
50725,39,101,188,140,0,10/22/2010 0:00,TPCW
53191,40,69,217,185,0,10/22/2010 0:00,TPCW
53419,20,84,316,74,0,10/22/2010 0:00,TPCW
53915,11,97,192,109,0,10/22/2010 0:00,TPCW
53915,11,3,274,101,0,10/22/2010 0:00,TPCW
1561,27,79,219,110,0,10/21/2010 0:00,TPCW
1561,27,20,348,128,0,10/21/2010 0:00,TPCW
2468,22,93,226,161,0,10/21/2010 0:00,TPCW
3217,35,58,238,86,0,10/21/2010 0:00,TPCW
3217,35,48,386,42,0,10/21/2010 0:00,TPCW
4177,4,104,307,180,0,10/21/2010 0:00,TPCW
4923,37,75,207,200,0,10/21/2010 0:00,TPCW
5847,26,53,201,102,0,10/21/2010 0:00,TPCW
6743,31,24,210,197,0,10/21/2010 0:00,TPCW
6982,32,26,381,69,0,10/21/2010 0:00,TPCW
8429,16,15,277,147,0,10/21/2010 0:00,TPCW
8429,16,57,122,83,0,10/21/2010 0:00,TPCW
8720,28,90,382,18,0,10/21/2010 0:00,TPCW
8720,28,48,231,192,0,10/21/2010 0:00,TPCW
10687,29,23,129,13,0,10/21/2010 0:00,TPCW
13613,10,37,399,135,0,10/21/2010 0:00,TPCW
13778,7,8,381,26,0,10/21/2010 0:00,TPCW
13961,40,30,317,197,0,10/21/2010 0:00,TPCW
15680,12,91,308,91,0,10/21/2010 0:00,TPCW
15680,12,79,177,95,0,10/21/2010 0:00,TPCW
16199,21,57,387,50,0,10/21/2010 0:00,TPCW
16653,14,53,138,119,0,10/21/2010 0:00,TPCW
21656,33,20,256,72,0,10/21/2010 0:00,TPCW
26071,6,26,132,91,0,10/21/2010 0:00,TPCW
28527,20,88,396,43,0,10/21/2010 0:00,TPCW
35935,11,39,140,189,0,10/21/2010 0:00,TPCW
35935,11,24,383,43,0,10/21/2010 0:00,TPCW
38264,17,41,235,143,0,10/21/2010 0:00,TPCW
38399,1,98,290,149,0,10/21/2010 0:00,TPCW
47286,39,94,250,178,0,10/21/2010 0:00,TPCW
52533,25,37,320,109,0,10/21/2010 0:00,TPCW
53224,38,97,281,121,0,10/21/2010 0:00,TPCW
7138,36,32,275,15,0,10/20/2010 0:00,TPCW
7582,4,47,267,101,0,10/20/2010 0:00,TPCW
17240,30,20,168,48,0,10/20/2010 0:00,TPCW
21532,29,40,147,171,0,10/20/2010 0:00,TPCW
21532,29,103,142,24,0,10/20/2010 0:00,TPCW
22031,15,33,317,28,0,10/20/2010 0:00,TPCW
26479,38,57,121,179,0,10/20/2010 0:00,TPCW
26479,38,95,394,91,0,10/20/2010 0:00,TPCW
30936,10,52,373,79,0,10/20/2010 0:00,TPCW
37849,22,78,245,58,0,10/20/2010 0:00,TPCW
39882,21,24,301,175,0,10/20/2010 0:00,TPCW
41753,17,75,222,90,0,10/20/2010 0:00,TPCW
41979,23,79,197,146,0,10/20/2010 0:00,TPCW
44644,12,62,232,194,0,10/20/2010 0:00,TPCW
44644,12,86,192,172,0,10/20/2010 0:00,TPCW
45313,3,94,298,16,0,10/20/2010 0:00,TPCW
51539,11,25,242,116,0,10/20/2010 0:00,TPCW
54320,7,77,109,125,0,10/20/2010 0:00,TPCW
1644,24,37,321,17,0,10/19/2010 0:00,TPCW
5502,11,97,258,128,0,10/19/2010 0:00,TPCW
5512,31,4,155,171,0,10/19/2010 0:00,TPCW
8257,4,87,200,135,0,10/19/2010 0:00,TPCW
16862,38,74,291,75,0,10/19/2010 0:00,TPCW
16862,38,90,374,26,0,10/19/2010 0:00,TPCW
17629,19,71,327,181,0,10/19/2010 0:00,TPCW
19910,37,57,376,151,0,10/19/2010 0:00,TPCW
24224,20,95,109,150,0,10/19/2010 0:00,TPCW
24231,18,100,368,12,0,10/19/2010 0:00,TPCW
26518,39,1,257,96,0,10/19/2010 0:00,TPCW
28055,9,101,392,23,0,10/19/2010 0:00,TPCW
28145,15,46,196,152,0,10/19/2010 0:00,TPCW
28233,5,25,144,61,0,10/19/2010 0:00,TPCW
28320,21,41,310,88,0,10/19/2010 0:00,TPCW
35355,7,103,320,145,0,10/19/2010 0:00,TPCW
49578,29,72,194,186,0,10/19/2010 0:00,TPCW
49808,22,37,337,164,0,10/19/2010 0:00,TPCW
54159,6,79,207,77,0,10/19/2010 0:00,TPCW
54159,6,34,309,115,0,10/19/2010 0:00,TPCW
6072,12,5,153,90,0,10/18/2010 0:00,TPCW
8059,30,57,367,26,0,10/18/2010 0:00,TPCW
10073,22,48,262,32,0,10/18/2010 0:00,TPCW
10073,22,52,132,69,0,10/18/2010 0:00,TPCW
13507,40,29,388,193,0,10/18/2010 0:00,TPCW
13837,36,84,232,100,0,10/18/2010 0:00,TPCW
14111,17,16,188,52,0,10/18/2010 0:00,TPCW
15740,4,23,261,186,0,10/18/2010 0:00,TPCW
16387,5,36,270,108,0,10/18/2010 0:00,TPCW
20512,21,55,300,50,0,10/18/2010 0:00,TPCW
21994,15,16,376,55,0,10/18/2010 0:00,TPCW
22975,8,4,340,164,0,10/18/2010 0:00,TPCW
38780,34,3,336,31,0,10/18/2010 0:00,TPCW
38945,13,85,168,39,0,10/18/2010 0:00,TPCW
38945,13,10,219,170,0,10/18/2010 0:00,TPCW
41324,18,80,217,52,0,10/18/2010 0:00,TPCW
42261,10,6,142,93,0,10/18/2010 0:00,TPCW
43789,39,34,206,117,0,10/18/2010 0:00,TPCW
45596,11,13,347,21,0,10/18/2010 0:00,TPCW
53279,20,59,221,134,0,10/18/2010 0:00,TPCW
53616,29,18,350,82,0,10/18/2010 0:00,TPCW
54183,6,48,191,26,0,10/18/2010 0:00,TPCW
794,37,17,381,74,0,10/17/2010 0:00,TPCW
863,8,59,393,191,0,10/17/2010 0:00,TPCW
1617,31,6,212,104,0,10/17/2010 0:00,TPCW
5959,30,84,305,94,0,10/17/2010 0:00,TPCW
10560,33,84,350,55,0,10/17/2010 0:00,TPCW
13736,36,65,224,16,0,10/17/2010 0:00,TPCW
21422,24,29,213,50,0,10/17/2010 0:00,TPCW
21422,24,70,180,196,0,10/17/2010 0:00,TPCW
26408,3,48,287,48,0,10/17/2010 0:00,TPCW
26593,15,48,399,34,0,10/17/2010 0:00,TPCW
26593,15,64,347,84,0,10/17/2010 0:00,TPCW
29562,27,77,137,13,0,10/17/2010 0:00,TPCW
31147,25,79,118,197,0,10/17/2010 0:00,TPCW
32961,39,5,158,190,0,10/17/2010 0:00,TPCW
41099,12,102,120,166,0,10/17/2010 0:00,TPCW
43228,38,92,188,189,0,10/17/2010 0:00,TPCW
43228,38,58,199,192,0,10/17/2010 0:00,TPCW
45646,35,84,393,38,0,10/17/2010 0:00,TPCW
49167,2,10,344,130,0,10/17/2010 0:00,TPCW
51256,13,28,293,149,0,10/17/2010 0:00,TPCW
52680,34,29,125,106,0,10/17/2010 0:00,TPCW
4719,40,105,275,77,0,10/16/2010 0:00,TPCW
9445,8,85,120,103,0,10/16/2010 0:00,TPCW
11182,20,2,284,175,0,10/16/2010 0:00,TPCW
11943,22,81,354,116,0,10/16/2010 0:00,TPCW
14401,38,86,311,126,0,10/16/2010 0:00,TPCW
17030,11,55,179,29,0,10/16/2010 0:00,TPCW
18986,35,22,245,162,0,10/16/2010 0:00,TPCW
19249,39,79,137,55,0,10/16/2010 0:00,TPCW
21581,36,96,185,30,0,10/16/2010 0:00,TPCW
24529,7,82,121,28,0,10/16/2010 0:00,TPCW
25444,32,21,116,146,0,10/16/2010 0:00,TPCW
25701,2,24,262,180,0,10/16/2010 0:00,TPCW
25701,2,71,374,54,0,10/16/2010 0:00,TPCW
25880,25,32,100,175,0,10/16/2010 0:00,TPCW
25880,25,105,212,95,0,10/16/2010 0:00,TPCW
29086,9,49,149,30,0,10/16/2010 0:00,TPCW
29313,30,102,221,93,0,10/16/2010 0:00,TPCW
29313,30,3,350,104,0,10/16/2010 0:00,TPCW
32499,34,65,325,140,0,10/16/2010 0:00,TPCW
32568,12,82,157,177,0,10/16/2010 0:00,TPCW
34663,15,29,373,107,0,10/16/2010 0:00,TPCW
43567,18,23,259,91,0,10/16/2010 0:00,TPCW
43567,18,17,300,177,0,10/16/2010 0:00,TPCW
45923,1,67,379,99,0,10/16/2010 0:00,TPCW
46051,14,103,167,185,0,10/16/2010 0:00,TPCW
48264,3,66,328,84,0,10/16/2010 0:00,TPCW
51605,5,38,106,27,0,10/16/2010 0:00,TPCW
51843,31,81,316,178,0,10/16/2010 0:00,TPCW
2771,26,37,121,15,0,10/15/2010 0:00,TPCW
6110,21,3,124,151,0,10/15/2010 0:00,TPCW
6559,13,7,292,162,0,10/15/2010 0:00,TPCW
7502,36,92,194,92,0,10/15/2010 0:00,TPCW
7958,38,82,320,169,0,10/15/2010 0:00,TPCW
10874,23,95,123,74,0,10/15/2010 0:00,TPCW
10936,40,7,189,66,0,10/15/2010 0:00,TPCW
16146,22,44,208,33,0,10/15/2010 0:00,TPCW
17981,7,19,138,140,0,10/15/2010 0:00,TPCW
19141,11,14,362,76,0,10/15/2010 0:00,TPCW
20099,17,49,262,59,0,10/15/2010 0:00,TPCW
23214,19,48,178,27,0,10/15/2010 0:00,TPCW
25247,16,87,345,20,0,10/15/2010 0:00,TPCW
26290,9,19,176,104,0,10/15/2010 0:00,TPCW
26326,12,4,303,102,0,10/15/2010 0:00,TPCW
28357,34,20,305,66,0,10/15/2010 0:00,TPCW
31752,18,98,199,69,0,10/15/2010 0:00,TPCW
31793,28,12,348,38,0,10/15/2010 0:00,TPCW
36161,24,66,361,34,0,10/15/2010 0:00,TPCW
37917,2,30,184,181,0,10/15/2010 0:00,TPCW
37917,2,70,199,30,0,10/15/2010 0:00,TPCW
43132,3,101,265,35,0,10/15/2010 0:00,TPCW
43971,39,42,377,16,0,10/15/2010 0:00,TPCW
45038,25,44,343,98,0,10/15/2010 0:00,TPCW
46226,4,50,142,65,0,10/15/2010 0:00,TPCW
46783,6,13,240,91,0,10/15/2010 0:00,TPCW
5904,4,89,272,25,0,10/14/2010 0:00,TPCW
5904,4,49,307,82,0,10/14/2010 0:00,TPCW
6426,35,100,312,154,0,10/14/2010 0:00,TPCW
6426,35,96,167,190,0,10/14/2010 0:00,TPCW
10526,1,63,357,175,0,10/14/2010 0:00,TPCW
14870,18,5,176,26,0,10/14/2010 0:00,TPCW
19811,20,90,301,113,0,10/14/2010 0:00,TPCW
23790,15,45,268,98,0,10/14/2010 0:00,TPCW
32485,29,94,164,153,0,10/14/2010 0:00,TPCW
35525,7,6,268,82,0,10/14/2010 0:00,TPCW
38711,13,105,243,166,0,10/14/2010 0:00,TPCW
40082,17,98,134,19,0,10/14/2010 0:00,TPCW
47928,40,86,309,187,0,10/14/2010 0:00,TPCW
49209,32,96,310,88,0,10/14/2010 0:00,TPCW
51159,22,96,301,150,0,10/14/2010 0:00,TPCW
51493,23,48,358,141,0,10/14/2010 0:00,TPCW
51974,38,1,344,30,0,10/14/2010 0:00,TPCW
52832,33,55,344,145,0,10/14/2010 0:00,TPCW
54701,36,43,302,185,0,10/14/2010 0:00,TPCW
1754,17,23,180,111,0,10/13/2010 0:00,TPCW
8798,21,34,169,63,0,10/13/2010 0:00,TPCW
8852,40,35,345,56,0,10/13/2010 0:00,TPCW
10399,23,69,277,49,0,10/13/2010 0:00,TPCW
13808,25,22,186,129,0,10/13/2010 0:00,TPCW
16280,1,93,275,119,0,10/13/2010 0:00,TPCW
18305,3,51,134,153,0,10/13/2010 0:00,TPCW
20759,18,16,305,102,0,10/13/2010 0:00,TPCW
20759,18,88,173,50,0,10/13/2010 0:00,TPCW
24811,16,53,198,88,0,10/13/2010 0:00,TPCW
32250,4,93,254,141,1,10/13/2010 0:00,TPCW
34779,38,38,277,146,0,10/13/2010 0:00,TPCW
38611,27,100,190,155,0,10/13/2010 0:00,TPCW
41416,7,63,114,107,0,10/13/2010 0:00,TPCW
42279,24,27,135,134,0,10/13/2010 0:00,TPCW
47471,6,90,361,128,0,10/13/2010 0:00,TPCW
47471,6,27,163,143,0,10/13/2010 0:00,TPCW
50173,29,89,301,126,0,10/13/2010 0:00,TPCW
53061,12,65,113,79,0,10/13/2010 0:00,TPCW
53402,22,13,332,175,0,10/13/2010 0:00,TPCW
3136,6,4,237,66,0,10/12/2010 0:00,TPCW
9414,22,54,155,192,0,10/12/2010 0:00,TPCW
13457,17,36,310,144,0,10/12/2010 0:00,TPCW
14719,38,59,279,133,0,10/12/2010 0:00,TPCW
14719,38,89,340,30,0,10/12/2010 0:00,TPCW
19441,40,14,156,82,0,10/12/2010 0:00,TPCW
20881,5,12,353,110,0,10/12/2010 0:00,TPCW
20957,24,74,254,33,0,10/12/2010 0:00,TPCW
21021,32,58,318,161,0,10/12/2010 0:00,TPCW
22772,7,68,206,74,0,10/12/2010 0:00,TPCW
27662,25,103,371,71,0,10/12/2010 0:00,TPCW
29210,10,58,171,92,0,10/12/2010 0:00,TPCW
32173,34,41,334,62,0,10/12/2010 0:00,TPCW
32902,12,84,295,135,0,10/12/2010 0:00,TPCW
33650,35,87,260,50,0,10/12/2010 0:00,TPCW
37118,31,3,274,169,0,10/12/2010 0:00,TPCW
46788,29,86,216,157,0,10/12/2010 0:00,TPCW
47549,18,81,164,59,0,10/12/2010 0:00,TPCW
1187,18,105,235,15,0,10/11/2010 0:00,TPCW
2990,35,86,253,74,0,10/11/2010 0:00,TPCW
9108,19,48,164,16,0,10/11/2010 0:00,TPCW
11914,4,53,270,34,0,10/11/2010 0:00,TPCW
12300,9,5,339,154,0,10/11/2010 0:00,TPCW
14462,27,25,253,200,0,10/11/2010 0:00,TPCW
21129,16,20,170,16,0,10/11/2010 0:00,TPCW
26987,20,23,272,46,0,10/11/2010 0:00,TPCW
29003,37,13,141,121,0,10/11/2010 0:00,TPCW
30867,15,8,111,117,0,10/11/2010 0:00,TPCW
44184,40,104,283,197,0,10/11/2010 0:00,TPCW
46663,33,43,319,90,0,10/11/2010 0:00,TPCW
47658,13,78,298,19,0,10/11/2010 0:00,TPCW
47867,21,13,240,30,0,10/11/2010 0:00,TPCW
51226,2,88,228,200,0,10/11/2010 0:00,TPCW
51751,5,80,160,128,0,10/11/2010 0:00,TPCW
689,9,81,329,59,0,10/10/2010 0:00,TPCW
4243,15,46,119,124,0,10/10/2010 0:00,TPCW
4243,15,44,213,38,0,10/10/2010 0:00,TPCW
7091,31,4,187,167,0,10/10/2010 0:00,TPCW
8925,26,80,243,178,0,10/10/2010 0:00,TPCW
12990,13,67,208,83,0,10/10/2010 0:00,TPCW
12990,13,84,166,10,0,10/10/2010 0:00,TPCW
13730,38,54,128,164,0,10/10/2010 0:00,TPCW
14073,34,100,293,97,0,10/10/2010 0:00,TPCW
14342,28,35,351,39,0,10/10/2010 0:00,TPCW
24617,6,62,368,90,0,10/10/2010 0:00,TPCW
25556,29,38,377,154,0,10/10/2010 0:00,TPCW
28446,32,60,204,196,0,10/10/2010 0:00,TPCW
30995,23,93,226,176,0,10/10/2010 0:00,TPCW
30995,23,91,128,166,0,10/10/2010 0:00,TPCW
31023,20,20,117,120,0,10/10/2010 0:00,TPCW
31023,20,80,330,114,0,10/10/2010 0:00,TPCW
39388,14,96,318,113,0,10/10/2010 0:00,TPCW
46087,7,60,271,67,0,10/10/2010 0:00,TPCW
52313,40,72,308,157,0,10/10/2010 0:00,TPCW
52977,10,97,259,115,0,10/10/2010 0:00,TPCW
52977,10,103,364,191,0,10/10/2010 0:00,TPCW
53432,21,66,184,84,0,10/10/2010 0:00,TPCW
55094,2,15,103,117,0,10/10/2010 0:00,TPCW
1018,21,62,119,177,0,10/9/2010 0:00,TPCW
2059,29,4,142,33,0,10/9/2010 0:00,TPCW
8887,7,17,103,72,0,10/9/2010 0:00,TPCW
22697,33,34,355,113,0,10/9/2010 0:00,TPCW
23226,24,61,387,104,0,10/9/2010 0:00,TPCW
23354,37,53,235,91,0,10/9/2010 0:00,TPCW
25895,6,104,136,82,0,10/9/2010 0:00,TPCW
25895,6,42,258,178,0,10/9/2010 0:00,TPCW
26698,30,99,143,58,0,10/9/2010 0:00,TPCW
29230,39,54,308,158,0,10/9/2010 0:00,TPCW
31344,18,84,176,155,0,10/9/2010 0:00,TPCW
39096,25,97,164,154,0,10/9/2010 0:00,TPCW
44013,35,79,306,40,0,10/9/2010 0:00,TPCW
45022,3,63,177,146,0,10/9/2010 0:00,TPCW
47540,13,38,321,55,0,10/9/2010 0:00,TPCW
49922,4,103,400,39,0,10/9/2010 0:00,TPCW
53545,10,67,185,150,0,10/9/2010 0:00,TPCW
54788,23,87,298,153,0,10/9/2010 0:00,TPCW
895,22,51,236,155,0,10/8/2010 0:00,TPCW
2047,1,27,211,107,0,10/8/2010 0:00,TPCW
3062,32,39,116,107,0,10/8/2010 0:00,TPCW
4745,17,17,214,184,0,10/8/2010 0:00,TPCW
8513,19,58,152,197,0,10/8/2010 0:00,TPCW
13159,21,92,259,50,0,10/8/2010 0:00,TPCW
13564,5,28,147,121,0,10/8/2010 0:00,TPCW
16797,2,42,164,198,0,10/8/2010 0:00,TPCW
17469,23,49,102,57,0,10/8/2010 0:00,TPCW
18165,6,3,143,27,0,10/8/2010 0:00,TPCW
19676,4,45,115,78,0,10/8/2010 0:00,TPCW
21861,15,71,137,159,0,10/8/2010 0:00,TPCW
